ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CVR_Total,CVR_Approved,CPC,CPM,CPA_Total,CPA_Approved,Avg_Frequency,Revenue_Total,Revenue_Approved,ROAS_Total,ROAS_Approved
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,0.0002419549963706,1.0,1.0,1.289999962,0.3121219361238809,1.289999962,1.289999962,4133.0,50,50,38.75969106423896,38.75969106423896
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,9.131586156515389e-05,1.0,1.0,1.269999981,0.115971142452744,1.269999981,1.269999981,10951.0,50,50,39.37007932915867,39.37007932915867
709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1,0.0004771968095984,0.1428571428571428,0.1428571428571428,1.468571458571429,0.7007976146976618,10.28000021,10.28000021,2095.5714285714284,50,50,4.863813130213933,4.863813130213933
709183,916,103989,35-39,M,16,21026,4,4.630000114,2,1,0.0001902406544278,0.5,0.25,1.1575000285,0.2202035629220964,2.315000057,4.630000114,5256.5,100,50,21.59827160643564,10.79913580321782
709327,916,104013,35-39,M,16,12193,2,3.059999943,1,1,0.0001640285409661,0.5,0.5,1.5299999715,0.2509636630033625,3.059999943,3.059999943,6096.5,50,50,16.339869585415872,16.339869585415872
709544,916,104049,35-39,M,29,7440,2,2.980000019,1,1,0.000268817204301,0.5,0.5,1.4900000095,0.4005376369623656,2.980000019,2.980000019,3720.0,50,50,16.778523382955722,16.778523382955722
709756,916,104085,40-44,M,16,10976,2,1.690000057,1,1,0.0001822157434402,0.5,0.5,0.8450000285,0.1539723084001457,1.690000057,1.690000057,5488.0,50,50,29.58579781870386,29.58579781870386
709901,916,104109,40-44,M,16,23817,7,8.470000148,1,1,0.0002939077129781,0.1428571428571428,0.1428571428571428,1.2100000211428572,0.3556283389175799,8.470000148,8.470000148,3402.4285714285716,50,50,5.90318761822057,5.90318761822057
710360,916,104185,45-49,M,21,2182,1,1.529999971,1,1,0.0004582951420714,1.0,1.0,1.529999971,0.7011915540788267,1.529999971,1.529999971,2182.0,50,50,32.679739181511394,32.679739181511394
710480,916,104205,30-34,F,16,57665,14,18.06999969,1,1,0.0002427815832827,0.0714285714285714,0.0714285714285714,1.2907142635714286,0.313361652475505,18.06999969,18.06999969,4118.928571428572,50,50,2.7670172029759454,2.7670172029759454
710571,916,104220,30-34,F,32,3091,1,1.610000014,1,1,0.0003235198964736,1.0,1.0,1.610000014,0.5208670378518279,1.610000014,1.610000014,3091.0,50,50,31.055900351066708,31.055900351066708
710836,916,104265,30-34,F,29,22221,7,9.430000067,1,1,0.0003150173259529,0.1428571428571428,0.1428571428571428,1.3471428667142855,0.4243733435488952,9.430000067,9.430000067,3174.4285714285716,50,50,5.302226897640594,5.302226897640594
710968,916,104287,35-39,F,27,5864,2,2.799999952,1,1,0.0003410641200545,0.5,0.5,1.399999976,0.4774897598908594,2.799999952,2.799999952,2932.0,50,50,17.857143163265313,17.857143163265313
711764,916,104419,45-49,F,10,11199,4,5.730000019,1,1,0.0003571747477453,0.25,0.25,1.43250000475,0.5116528278417716,5.730000019,5.730000019,2799.75,50,50,8.726003461467004,8.726003461467004
734210,936,108654,30-34,M,10,13329,4,5.629999995,1,1,0.0003000975316978,0.25,0.25,1.40749999875,0.4223872754895341,5.629999995,5.629999995,3332.25,50,50,8.880994679290403,8.880994679290403
734352,936,108678,35-39,M,10,4423,1,1.460000038,1,1,0.0002260908885371,1.0,1.0,1.460000038,0.330092705855754,1.460000038,1.460000038,4423.0,50,50,34.24657445111656,34.24657445111656
734361,936,108680,35-39,M,16,12382,2,2.839999914,1,1,0.0001615247940558,0.5,0.5,1.419999957,0.2293652006137942,2.839999914,2.839999914,6191.0,50,50,17.605634335945265,17.605634335945265
734381,936,108683,35-39,M,20,2938,1,1.350000024,1,1,0.0003403675970047,1.0,1.0,1.350000024,0.4594962641252553,1.350000024,1.350000024,2938.0,50,50,37.03703637860083,37.03703637860083
734785,936,108750,30-34,F,10,5576,1,1.529999971,1,1,0.0001793400286944,1.0,1.0,1.529999971,0.2743902387015782,1.529999971,1.529999971,5576.0,50,50,32.679739181511394,32.679739181511394
734796,936,108752,30-34,F,16,39337,7,10.03000009,1,1,0.0001779495131809,0.1428571428571428,0.1428571428571428,1.4328571557142855,0.2549762333172331,10.03000009,10.03000009,5619.571428571428,50,50,4.985044820672579,4.985044820672579
734854,936,108762,30-34,F,27,57022,13,20.29000032,3,3,0.0002279821823155,0.2307692307692307,0.2307692307692307,1.5607692553846155,0.3558275809336747,6.76333344,6.76333344,4386.307692307692,150,150,7.392804220517626,7.392804220517626
734856,936,108762,30-34,F,27,5453,1,1.389999986,1,1,0.0001833852924995,1.0,1.0,1.389999986,0.2549055540069686,1.389999986,1.389999986,5453.0,50,50,35.97122338388282,35.97122338388282
734881,936,108766,30-34,F,31,4259,1,1.570000052,1,1,0.0002347969006809,1.0,1.0,1.570000052,0.3686311462784691,1.570000052,1.570000052,4259.0,50,50,31.847132703152297,31.847132703152297
734903,936,108770,30-34,F,64,5323,1,1.289999962,1,1,0.0001878639864737,1.0,1.0,1.289999962,0.2423445354123614,1.289999962,1.289999962,5323.0,50,50,38.75969106423896,38.75969106423896
734925,936,108774,35-39,F,10,5024,1,1.409999967,1,1,0.0001990445859872,1.0,1.0,1.409999967,0.2806528596735669,1.409999967,1.409999967,5024.0,50,50,35.46099373773957,35.46099373773957
734939,936,108776,35-39,F,16,104648,24,33.33000004,4,2,0.0002293402645057,0.1666666666666666,0.0833333333333333,1.3887500016666667,0.3184962927146242,8.33250001,16.66500002,4360.333333333333,200,100,6.00060005280456,3.00030002640228
734968,936,108781,35-39,F,22,8504,3,3.340000093,1,1,0.0003527751646284,0.3333333333333333,0.3333333333333333,1.1133333643333334,0.3927563608889934,3.340000093,3.340000093,2834.6666666666665,50,50,14.970059463408523,14.970059463408523
735014,936,108788,35-39,F,29,12403,4,5.210000038,1,1,0.0003225026203337,0.25,0.25,1.3025000095,0.4200596660485367,5.210000038,5.210000038,3100.75,50,50,9.596928912728732,9.596928912728732
735289,936,108834,45-49,F,27,20362,5,9.119999886,1,1,0.0002455554464198,0.2,0.2,1.8239999772,0.4478931286710539,9.119999886,9.119999886,4072.4,50,50,5.48245620888158,5.48245620888158
735298,936,108836,45-49,F,29,85412,28,38.63999999,2,1,0.0003278227883669,0.0714285714285714,0.0357142857142857,1.3799999996428571,0.4523954478293448,19.319999995,38.63999999,3050.4285714285716,100,50,2.587991719096271,1.2939958595481356
737524,936,109601,40-44,M,30,2148,1,1.580000043,1,1,0.0004655493482309,1.0,1.0,1.580000043,0.7355679902234636,1.580000043,1.580000043,2148.0,50,50,31.645568759013,31.645568759013
737657,936,109633,45-49,M,18,7478,2,2.900000095,1,1,0.0002674511901577,0.5,0.5,1.4500000475,0.3878042384327361,2.900000095,2.900000095,3739.0,50,50,17.24137874554104,17.24137874554104
738006,936,109717,30-34,F,27,34740,7,13.41000009,1,1,0.0002014968336211,0.1428571428571428,0.1428571428571428,1.9157142985714288,0.386010365284974,13.41000009,13.41000009,4962.857142857143,50,50,3.728560750516744,3.728560750516744
738307,936,109788,35-39,F,31,3010,1,0.860000014,1,1,0.0003322259136212,1.0,1.0,0.860000014,0.2857142903654485,0.860000014,0.860000014,3010.0,50,50,58.1395339372634,58.1395339372634
738389,936,109808,40-44,F,10,27081,9,10.77000046,1,1,0.0003323363243602,0.1111111111111111,0.1111111111111111,1.196666717777778,0.3976958184705144,10.77000046,10.77000046,3009.0,50,50,4.642525335602446,4.642525335602446
738413,936,109813,40-44,F,16,147159,36,58.16000044,3,1,0.000244633355758,0.0833333333333333,0.0277777777777777,1.6155555677777778,0.3952187799590919,19.38666681333333,58.16000044,4087.75,150,50,2.5790921400481337,0.8596973800160446
738423,936,109816,40-44,F,18,21664,7,10.61999977,1,1,0.000323116691285,0.1428571428571428,0.1428571428571428,1.5171428242857143,0.4902141695901033,10.61999977,10.61999977,3094.8571428571427,50,50,4.70809803040137,4.70809803040137
738436,936,109820,40-44,F,19,9112,4,5.460000038,1,1,0.0004389815627743,0.25,0.25,1.3650000095,0.599209837357331,5.460000038,5.460000038,2278.0,50,50,9.157509093775577,9.157509093775577
738582,936,109848,45-49,F,10,46150,15,20.17999983,1,1,0.0003250270855904,0.0666666666666666,0.0666666666666666,1.345333322,0.4372697687973997,20.17999983,20.17999983,3076.6666666666665,50,50,2.477700714628797,2.477700714628797
738592,936,109850,45-49,F,16,493821,116,176.3799977,4,1,0.000234902930414,0.0344827586206896,0.0086206896551724,1.520517221551724,0.3571739510875398,44.094999425,176.3799977,4257.077586206897,200,50,1.1339154246967087,0.2834788561741772
