ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CVR_Total,CVR_Approved,CPC,CPM,CPA_Total,CPA_Approved,Avg_Frequency,Revenue_Total,Revenue_Approved,ROAS_Total,ROAS_Approved
708818,916,103928,30-34,M,28,4133,1,1.289999962,0,0,0.0002419549963706,0.0,0.0,1.289999962,0.3121219361238809,0.0,0.0,4133.0,0.0,0.0,0.0,0.0
708895,916,103941,30-34,M,16,10951,1,1.269999981,0,0,9.131586156515389e-05,0.0,0.0,1.269999981,0.115971142452744,0.0,0.0,10951.0,0.0,0.0,0.0,0.0
709059,916,103968,30-34,M,20,14669,7,10.28000021,0,0,0.0004771968095984,0.0,0.0,1.468571458571429,0.7007976146976618,0.0,0.0,2095.5714285714284,0.0,0.0,0.0,0.0
709183,916,103989,35-39,M,16,21026,4,4.630000114,0,0,0.0001902406544278,0.0,0.0,1.1575000285,0.2202035629220964,0.0,0.0,5256.5,0.0,0.0,0.0,0.0
709327,916,104013,35-39,M,16,12193,2,3.059999943,0,0,0.0001640285409661,0.0,0.0,1.5299999715,0.2509636630033625,0.0,0.0,6096.5,0.0,0.0,0.0,0.0
709544,916,104049,35-39,M,29,7440,2,2.980000019,0,0,0.000268817204301,0.0,0.0,1.4900000095,0.4005376369623656,0.0,0.0,3720.0,0.0,0.0,0.0,0.0
709756,916,104085,40-44,M,16,10976,2,1.690000057,0,0,0.0001822157434402,0.0,0.0,0.8450000285,0.1539723084001457,0.0,0.0,5488.0,0.0,0.0,0.0,0.0
709901,916,104109,40-44,M,16,23817,7,8.470000148,0,0,0.0002939077129781,0.0,0.0,1.2100000211428572,0.3556283389175799,0.0,0.0,3402.4285714285716,0.0,0.0,0.0,0.0
710360,916,104185,45-49,M,21,2182,1,1.529999971,0,0,0.0004582951420714,0.0,0.0,1.529999971,0.7011915540788267,0.0,0.0,2182.0,0.0,0.0,0.0,0.0
710480,916,104205,30-34,F,16,57665,14,18.06999969,0,0,0.0002427815832827,0.0,0.0,1.2907142635714286,0.313361652475505,0.0,0.0,4118.928571428572,0.0,0.0,0.0,0.0
