ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CVR_Total,CVR_Approved,CPC,CPM,CPA_Total,CPA_Approved,Avg_Frequency,Revenue_Total,Revenue_Approved,ROAS_Total,ROAS_Approved
708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1,0.00013605442176870748,2.0,1.0,1.429999948,0.19455781605442177,0.714999974,1.429999948,7350.0,100,50,69.93007247298165,34.965036236490825
708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0,0.00011197581322434354,1.0,0.0,0.9100000115,0.10189799132187448,0.9100000115,,8930.5,100,0,54.94505425069437,0.0
708771,916,103920,30-34,M,20,693,0,0.0,1,0,0.0,0.0,0.0,,0.0,0.0,,,50,0,,
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,0.00023479690068091102,1.0,0.0,1.25,0.29349612585113877,1.25,,4259.0,50,0,40.0,0.0
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,0.00024195499637067505,1.0,1.0,1.289999962,0.31212193612388095,1.289999962,1.289999962,4133.0,50,50,38.759691064238964,38.759691064238964
708820,916,103929,30-34,M,29,1915,0,0.0,1,1,0.0,0.0,0.0,,0.0,0.0,0.0,,50,50,,
708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0,0.00019212295869356388,0.3333333333333333,0.0,1.5899999936666667,0.30547550310598787,4.769999981,,5205.0,50,0,10.482180335253968,0.0
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,9.131586156515387e-05,1.0,1.0,1.269999981,0.11597114245274404,1.269999981,1.269999981,10951.0,50,50,39.37007932915867,39.37007932915867
708953,916,103951,30-34,M,27,2355,1,1.5,1,0,0.0004246284501061571,1.0,0.0,1.5,0.6369426751592356,1.5,,2355.0,50,0,33.333333333333336,0.0
708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0,0.0003157230056830141,0.3333333333333333,0.0,1.0533333223333334,0.3325615625131551,3.159999967,,3167.3333333333335,50,0,15.822784975364526,0.0
